Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,IM,GDP,LIT,Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0,0,91,1300,70,2.7,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,14.53,0,19,2500,97,293.3,12.9,0,87.1,,12.13,6.53,,,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,51.72,-7.11,14,8800,97,638.9,19.44,2.78,77.78,2,18.02,8.33,0.035,0.258,0.707
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,25.65,-2.67,14,5400,67,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29,49.59,-4.86,8,6900,99,683.2,13.04,0,86.96,,13.52,6.83,,,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303,21.59,-7.64,15,2900,96,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64
Samoa ,OCEANIA                            ,176908,2944,60.1,13.69,-11.7,28,5600,100,75.2,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302
San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0,10.98,6,34600,96,704.3,16.67,0,83.33,,10.02,8.17,,,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,20.88,-2.72,43,1200,79,36.2,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13,11800,79,140.6,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,56,1600,40,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,0,-1.33,13,2200,93,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,107.91,-5.69,16,7800,58,262.4,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56,0,144,500,31,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2,23700,93,411.4,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4,19000,100,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,0.47,5.37,117,500,38,11.3,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23,-0.29,62,10700,86,107,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
Spain ,WESTERN EUROPE                     ,40397842,504782,80,0.98,0.99,4,22000,98,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14,3700,92,61.5,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03,-0.02,63,1900,61,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24,-8.81,24,4000,93,184.7,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0,0,69,4900,82,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
Sweden ,WESTERN EUROPE                     ,9016596,449964,20,0.72,1.67,3,26800,99,715,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0,4.05,4,32700,99,680.9,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645
Syria ,NEAR EAST                          ,18881361,185180,102,0.1,0,30,3300,77,153.8,25.22,4.43,70.35,1,27.76,4.81,0.249,0.23,0.519
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0,6,23400,96,591,24,1,75,2,12.56,6.48,0.018,0.259,0.723
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0,-2.86,111,1000,99,33.5,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15,-2.06,99,600,78,4,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0,20,7400,93,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.1,0,67,1500,61,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401
Tonga ,OCEANIA                            ,114689,748,153.3,56.02,0,13,2200,99,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,7.06,-10.83,24,9500,99,303.5,14.62,9.16,76.22,2,12.9,10.57,0.007,0.57,0.423
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.7,-0.57,25,6900,74,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92,0,41,6700,87,269.5,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0,-0.86,73,5800,98,74.6,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,90.47,11.68,16,9600,98,269.5,2.33,0,97.67,2,21.84,4.21,,,
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0,0,68,1400,70,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20,5400,100,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,15,23200,78,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
United States ,NORTHERN AMERICA                   ,298444215,9631420,31,0.21,3.41,7,37800,97,898,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,0.37,-0.32,12,12800,98,291.4,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61,0,-1.72,71,1700,99,62.9,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43
Vanuatu ,OCEANIA                            ,208869,12200,17.1,20.72,0,55,2900,53,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22,4800,93,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,26,2500,90,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381
Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36,0,62,800,50,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0,0,88,800,81,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0,0,68,1900,91,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
